Date,LLM_Buy,LLM_Sell,LLM_Hold,LLM_View,LSTM_Buy_Soft,LSTM_Sell_Soft,LSTM_Hold_Soft,LSTM_View_Soft,LSTM_Buy_Hard,LSTM_Sell_Hard,LSTM_Hold_Hard,LSTM_View_Hard,LSTM_Pred_Today,LSTM_Pred_Tomorrow,LSTM_Pct_Change,Ground_Truth,Next_Return,Actual_Price
2025-08-05,0.25,0.55,0.2,SELL,0.4878,0.2561,0.2561,BUY,1,0,0,BUY,212.71,211.34,-0.6442,BUY,0.0509067707681243,202.49366760253906
2025-08-06,0.42,0.28,0.3,BUY,0.4103,0.2784,0.3113,BUY,0,0,1,HOLD,211.34,210.52,-0.388,BUY,0.0317936636778282,212.8019561767578
2025-08-07,0.65,0.15,0.2,BUY,0.2771,0.2977,0.4252,HOLD,0,0,1,HOLD,210.52,210.67,0.0719,BUY,0.0423578938141397,219.56771850585938
2025-08-08,0.6,0.15,0.25,BUY,0.2477,0.5046,0.2477,SELL,0,1,0,SELL,210.67,212.17,0.7117,SELL,-0.0094615799868562,228.86813354492188
2025-08-11,0.55,0.15,0.3,BUY,0.1899,0.6201,0.1899,SELL,0,1,0,SELL,212.17,214.68,1.1833,BUY,0.0108724416776797,226.95997619628906
2025-08-12,0.45,0.25,0.3,BUY,0.154,0.6921,0.154,SELL,0,1,0,SELL,214.68,217.91,1.5029,BUY,0.0160244199101919,229.42758178710938
2025-08-13,0.65,0.15,0.2,BUY,0.133,0.7339,0.133,SELL,0,1,0,SELL,217.91,221.63,1.7077,HOLD,-0.0023571895917441,233.10403442382812
2025-08-14,0.65,0.2,0.15,BUY,0.1332,0.7336,0.1332,SELL,0,1,0,SELL,221.63,225.41,1.7061,SELL,-0.0051121335494743,232.5545654296875
2025-08-15,0.65,0.15,0.2,BUY,0.1544,0.6913,0.1544,SELL,0,1,0,SELL,225.41,228.79,1.4993,HOLD,-0.0030225698834628,231.36570739746094
2025-08-18,0.65,0.1,0.25,BUY,0.1931,0.6137,0.1931,SELL,0,1,0,SELL,228.79,231.44,1.1561,HOLD,-0.0014292599589719,230.66639709472656
2025-08-19,0.65,0.15,0.2,BUY,0.2419,0.5163,0.2419,SELL,0,1,0,SELL,231.44,233.19,0.7583,SELL,-0.0197345727790506,230.3367156982422
2025-08-20,0.45,0.25,0.3,BUY,0.2803,0.3603,0.3595,SELL,0,0,1,HOLD,233.19,233.78,0.2511,HOLD,-0.0049112899311095,225.79110717773438
2025-08-21,0.25,0.55,0.2,SELL,0.3482,0.2802,0.3716,HOLD,0,0,1,HOLD,233.78,233.27,-0.2176,BUY,0.0127167660647777,224.68218994140625
2025-08-22,0.35,0.25,0.4,HOLD,0.4438,0.2751,0.2811,BUY,0,0,1,HOLD,233.27,232.15,-0.4783,HOLD,-0.0026343118159346,227.53941345214844
2025-08-25,0.45,0.25,0.3,BUY,0.4798,0.2601,0.2601,BUY,1,0,0,BUY,232.15,230.73,-0.6124,BUY,0.0094646674670881,226.94000244140625
2025-08-26,0.45,0.15,0.4,BUY,0.4711,0.2644,0.2644,BUY,1,0,0,BUY,230.73,229.4,-0.5775,BUY,0.0051459070565329,229.08792114257812
2025-08-27,0.55,0.15,0.3,BUY,0.428,0.2768,0.2952,BUY,0,0,1,HOLD,229.4,228.4,-0.4358,BUY,0.008980832210059,230.26678466796875
2025-08-28,0.55,0.15,0.3,BUY,0.3462,0.2801,0.3737,HOLD,0,0,1,HOLD,228.4,227.91,-0.2117,HOLD,-0.0018059776976024,232.33477783203125
2025-08-29,0.45,0.15,0.4,BUY,0.28,0.2749,0.445,HOLD,0,0,1,HOLD,227.91,227.87,-0.0184,SELL,-0.0104247358288449,231.91517639160156
2025-09-02,0.45,0.15,0.4,BUY,0.2764,0.2916,0.432,HOLD,0,0,1,HOLD,227.87,227.99,0.0534,BUY,0.0380898483088263,229.49752807617188
2025-09-03,0.6,0.1,0.3,BUY,0.2798,0.3853,0.3349,SELL,0,0,1,HOLD,227.99,228.72,0.3201,BUY,0.0054933431957395,238.2390594482422
2025-09-04,0.45,0.15,0.4,BUY,0.2643,0.4715,0.2643,SELL,0,1,0,SELL,228.72,230.05,0.579,HOLD,-0.0003753287945149,239.5477752685547
2025-09-05,0.65,0.15,0.2,BUY,0.2447,0.5107,0.2447,SELL,0,1,0,SELL,230.05,231.74,0.7358,SELL,-0.0075514103223234,239.45787048339844
2025-09-08,0.45,0.25,0.3,BUY,0.2462,0.5075,0.2462,SELL,0,1,0,SELL,231.74,233.42,0.7233,SELL,-0.0148394093948159,237.64962768554688
2025-09-09,0.45,0.25,0.3,BUY,0.2726,0.4548,0.2726,SELL,0,1,0,SELL,233.42,234.61,0.5118,SELL,-0.032259494860194,234.123046875
2025-09-10,0.35,0.25,0.4,HOLD,0.2759,0.2872,0.4369,HOLD,0,0,1,HOLD,234.61,234.71,0.0401,BUY,0.0142863688393706,226.5703582763672
2025-09-11,0.45,0.25,0.3,BUY,0.3745,0.2801,0.3454,BUY,0,0,1,HOLD,234.71,234.02,-0.2904,BUY,0.0175629638149852,229.80722045898438
2025-09-12,0.35,0.25,0.4,HOLD,0.4062,0.2786,0.3151,BUY,0,0,1,HOLD,234.02,233.14,-0.377,BUY,0.0112359103760806,233.84332275390625
2025-09-15,0.45,0.25,0.3,BUY,0.3692,0.2802,0.3506,BUY,0,0,1,HOLD,233.14,232.5,-0.276,BUY,0.0061258849469238,236.47076416015625
2025-09-16,0.45,0.2,0.35,BUY,0.3015,0.2775,0.421,HOLD,0,0,1,HOLD,232.5,232.31,-0.0831,HOLD,0.0035272375318422,237.9193572998047
2025-09-17,0.45,0.25,0.3,BUY,0.2786,0.3148,0.4066,HOLD,0,0,1,HOLD,232.31,232.59,0.122,HOLD,-0.0046445482440198,238.75856018066406
2025-09-18,0.45,0.15,0.4,BUY,0.2803,0.3564,0.3633,HOLD,0,0,1,HOLD,232.59,233.15,0.2405,BUY,0.0320329366099574,237.64962768554688
2025-09-19,0.55,0.15,0.3,BUY,0.2722,0.4556,0.2722,SELL,0,1,0,SELL,233.15,234.35,0.5149,BUY,0.0430956683188008,245.26223754882812
2025-09-22,0.65,0.1,0.25,BUY,0.208,0.584,0.208,SELL,0,1,0,SELL,234.35,236.77,1.0324,SELL,-0.0064432754725202,255.8319854736328
2025-09-23,0.55,0.25,0.2,BUY,0.1697,0.6606,0.1697,SELL,0,1,0,SELL,236.77,239.99,1.3593,SELL,-0.0083323317934808,254.18359375
2025-09-24,0.65,0.15,0.2,BUY,0.1655,0.669,0.1655,SELL,0,1,0,SELL,239.99,243.34,1.3968,BUY,0.0180729959284897,252.06564331054688
2025-09-25,0.6,0.1,0.3,BUY,0.168,0.6641,0.168,SELL,0,1,0,SELL,243.34,246.68,1.3746,SELL,-0.0054891128980519,256.6212158203125
2025-09-26,0.45,0.25,0.3,BUY,0.1914,0.6173,0.1914,SELL,0,1,0,SELL,246.68,249.57,1.1711,HOLD,-0.0040319972246756,255.2126007080078
2025-09-29,0.55,0.15,0.3,BUY,0.2321,0.5359,0.2321,SELL,0,1,0,SELL,249.57,251.66,0.8368,HOLD,0.0007861188255666,254.18359375
2025-09-30,0.65,0.15,0.2,BUY,0.2752,0.4426,0.2821,SELL,0,0,1,HOLD,251.66,252.86,0.4752,HOLD,0.0032203277292754,254.38340759277344
2025-10-01,0.55,0.15,0.3,BUY,0.2795,0.3293,0.3912,HOLD,0,0,1,HOLD,252.86,253.27,0.1638,BUY,0.0065766606171098,255.20260620117188
2025-10-02,0.62,0.15,0.23,BUY,0.2865,0.2758,0.4377,HOLD,0,0,1,HOLD,253.27,253.17,-0.0381,HOLD,0.003461222393182,256.8809814453125
2025-10-03,0.6,0.1,0.3,BUY,0.3245,0.2793,0.3963,HOLD,0,0,1,HOLD,253.17,252.79,-0.1501,SELL,-0.0051545873532889,257.7701110839844
2025-10-06,0.35,0.25,0.4,HOLD,0.3621,0.2803,0.3576,BUY,0,0,1,HOLD,252.79,252.15,-0.2563,HOLD,-0.0008180741481198,256.44140625
2025-10-07,0.45,0.25,0.3,BUY,0.3901,0.2796,0.3303,BUY,0,0,1,HOLD,252.15,251.31,-0.3333,BUY,0.0061602717739661,256.23162841796875
2025-10-08,0.55,0.15,0.3,BUY,0.386,0.2797,0.3342,BUY,0,0,1,HOLD,251.31,250.5,-0.322,SELL,-0.015577789314472,257.8100891113281
2025-10-09,0.45,0.3,0.25,BUY,0.417,0.2778,0.3051,BUY,0,0,1,HOLD,250.5,249.48,-0.4062,SELL,-0.0345220801663066,253.79396057128906
2025-10-10,0.35,0.55,0.1,SELL,0.5117,0.2441,0.2441,BUY,1,0,0,BUY,249.48,247.63,-0.7401,BUY,0.0097443606964409,245.032470703125
2025-10-13,0.35,0.45,0.2,SELL,0.5555,0.2223,0.2223,BUY,1,0,0,BUY,247.63,245.36,-0.916,HOLD,0.0004441597703503,247.42015075683594
2025-10-14,0.25,0.45,0.3,SELL,0.5623,0.2188,0.2188,BUY,1,0,0,BUY,245.36,243.05,-0.9437,BUY,0.0063364896410271,247.53004455566406
2025-10-15,0.35,0.45,0.2,SELL,0.5253,0.2374,0.2374,BUY,1,0,0,BUY,243.05,241.12,-0.7942,SELL,-0.0075800088931068,249.09852600097656
2025-10-16,0.35,0.45,0.2,SELL,0.4825,0.2588,0.2588,BUY,1,0,0,BUY,241.12,239.62,-0.6231,BUY,0.0195594924129378,247.21035766601562
2025-10-17,0.35,0.45,0.2,SELL,0.3666,0.2802,0.3532,BUY,0,0,1,HOLD,239.62,238.97,-0.2685,BUY,0.03943873008454,252.045654296875
2025-10-20,0.65,0.15,0.2,BUY,0.2784,0.4096,0.312,SELL,0,0,1,HOLD,238.97,239.9,0.3862,HOLD,0.0020210448407322,261.98602294921875
2025-10-21,0.55,0.15,0.3,BUY,0.2189,0.5621,0.2189,SELL,0,1,0,SELL,239.9,242.16,0.9429,SELL,-0.0164401453257885,262.5155029296875
2025-10-22,0.35,0.25,0.4,HOLD,0.1951,0.6098,0.1951,SELL,0,1,0,SELL,242.16,244.92,1.1397,HOLD,0.0043721196048125,258.19970703125
2025-10-23,0.55,0.2,0.25,BUY,0.1936,0.6129,0.1936,SELL,0,1,0,SELL,244.92,247.74,1.1525,BUY,0.0124817817996578,259.3285827636719
2025-10-24,0.45,0.25,0.3,BUY,0.1974,0.6051,0.1974,SELL,0,1,0,SELL,247.74,250.51,1.12,BUY,0.0227912261907277,262.56549072265625
2025-10-27,0.65,0.1,0.25,BUY,0.1907,0.6187,0.1907,SELL,0,1,0,SELL,250.51,253.46,1.177,HOLD,0.0007068280314419,268.5496520996094
2025-10-28,0.55,0.25,0.2,BUY,0.1948,0.6104,0.1948,SELL,0,1,0,SELL,253.46,256.36,1.1423,HOLD,0.0026022758625696,268.7394714355469
2025-10-29,0.65,0.15,0.2,BUY,0.2095,0.581,0.2095,SELL,0,1,0,SELL,256.36,258.97,1.0201,BUY,0.0063032317853517,269.4388122558594
2025-10-30,0.6,0.1,0.3,BUY,0.2286,0.5427,0.2286,SELL,0,1,0,SELL,258.97,261.21,0.8645,HOLD,-0.0037951319176879,271.13714599609375
2025-10-31,0.65,0.15,0.2,BUY,0.2594,0.4811,0.2594,SELL,0,1,0,SELL,261.21,262.83,0.6176,HOLD,-0.00488222564655,270.108154296875
2025-11-03,0.45,0.25,0.3,BUY,0.28,0.3785,0.3415,SELL,0,0,1,HOLD,262.83,263.62,0.3015,HOLD,0.0036796907521696,268.7894287109375
2025-11-04,0.55,0.15,0.3,BUY,0.2756,0.285,0.4394,HOLD,0,0,1,HOLD,263.62,263.71,0.0335,HOLD,0.0003703380993598,269.7784729003906
2025-11-05,0.45,0.25,0.3,BUY,0.3349,0.2798,0.3853,HOLD,0,0,1,HOLD,263.71,263.23,-0.1799,HOLD,-0.0013697549963014,269.8783874511719
2025-11-06,0.45,0.25,0.3,BUY,0.3938,0.2794,0.3268,BUY,0,0,1,HOLD,263.23,262.33,-0.3433,HOLD,-0.0048188747670626,269.50872802734375
2025-11-07,0.35,0.25,0.4,HOLD,0.4459,0.2748,0.2793,BUY,0,0,1,HOLD,262.33,261.06,-0.4839,HOLD,0.0035757866827323,268.2099914550781
2025-11-10,0.35,0.25,0.4,HOLD,0.4567,0.2716,0.2716,BUY,1,0,0,BUY,261.06,259.7,-0.5195,BUY,0.0216011857715567,269.42999267578125
2025-11-11,0.45,0.15,0.4,BUY,0.3804,0.2799,0.3397,BUY,0,0,1,HOLD,259.7,258.91,-0.3066,SELL,-0.0064668438848206,275.25
2025-11-12,0.45,0.25,0.3,BUY,0.3186,0.2789,0.4025,HOLD,0,0,1,HOLD,258.91,258.56,-0.1331,HOLD,-0.0019014480979659,273.4700012207031
2025-11-13,0.45,0.25,0.3,BUY,0.2796,0.2749,0.4456,HOLD,0,0,1,HOLD,258.56,258.52,-0.0169,HOLD,-0.0019784155368063,272.95001220703125
2025-11-14,0.45,0.2,0.35,BUY,0.2756,0.2848,0.4397,HOLD,0,0,1,HOLD,258.52,258.6,0.0329,SELL,-0.0181711836587731,272.4100036621094
2025-11-17,0.35,0.45,0.2,SELL,0.3125,0.2784,0.4091,HOLD,0,0,1,HOLD,258.6,258.3,-0.1154,HOLD,-7.473646268785217e-05,267.4599914550781
2025-11-18,0.35,0.25,0.4,HOLD,0.3647,0.2802,0.355,BUY,0,0,1,HOLD,258.3,257.62,-0.2635,HOLD,0.0041878369240326,267.44000244140625
2025-11-19,0.25,0.35,0.4,HOLD,0.3863,0.2797,0.3339,BUY,0,0,1,HOLD,257.62,256.79,-0.3229,SELL,-0.0086014208355426,268.55999755859375
2025-11-20,0.35,0.25,0.4,HOLD,0.4125,0.2782,0.3093,BUY,0,0,1,HOLD,256.79,255.78,-0.394,BUY,0.019680714495305,266.25
2025-11-21,0.35,0.25,0.4,HOLD,0.3548,0.2802,0.365,HOLD,0,0,1,HOLD,255.78,255.18,-0.2359,BUY,0.0163174457722548,271.489990234375
2025-11-24,0.55,0.2,0.25,BUY,0.278,0.3075,0.4145,HOLD,0,0,1,HOLD,255.18,255.43,0.1007,HOLD,0.0038054064289314,275.9200134277344
