Date,Buy_Conf,Sell_Conf,Hold_Conf,LLM_View,Ground_Truth,Next_Return
2025-10-24,0.45,0.25,0.3,BUY,BUY,0.028079089125798262
2025-10-27,0.55,0.2,0.25,BUY,BUY,0.049819797443545255
2025-10-28,0.65,0.15,0.2,BUY,BUY,0.029896008274039154
2025-10-29,0.55,0.2,0.25,BUY,SELL,-0.020044407027916655
2025-10-30,0.55,0.15,0.3,BUY,HOLD,-0.0019714815796129104
2025-10-31,0.65,0.15,0.2,BUY,BUY,0.02168007936469052
2025-11-03,0.65,0.1,0.25,BUY,SELL,-0.03958817792007252
2025-11-04,0.45,0.35,0.2,BUY,SELL,-0.017514699706973502
2025-11-05,0.45,0.25,0.3,BUY,SELL,-0.03652479195527836
2025-11-06,0.25,0.45,0.3,SELL,HOLD,0.000372139859359244
2025-11-07,0.35,0.25,0.4,HOLD,BUY,0.0579325512031128
2025-11-10,0.55,0.25,0.2,BUY,SELL,-0.02959055161690649
2025-11-11,0.45,0.3,0.25,BUY,HOLD,0.003313312163567561
2025-11-12,0.35,0.25,0.4,HOLD,SELL,-0.03581012555274732
2025-11-13,0.35,0.45,0.2,SELL,BUY,0.01771378330184148
2025-11-14,0.45,0.25,0.3,BUY,SELL,-0.018772635535591387
2025-11-17,0.35,0.45,0.2,SELL,SELL,-0.028081486183109683
2025-11-18,0.35,0.45,0.2,SELL,BUY,0.028451718376399482
2025-11-19,0.35,0.45,0.2,SELL,SELL,-0.03152479491810023
2025-11-20,0.25,0.45,0.3,SELL,SELL,-0.009743105141622355
2025-11-21,0.25,0.55,0.2,SELL,BUY,0.02051653660983299
2025-11-24,0.35,0.25,0.4,HOLD,SELL,-0.02591068555719489
2025-11-25,0.35,0.4,0.25,SELL,BUY,0.013721668440651813
2025-11-26,0.35,0.45,0.2,SELL,SELL,-0.018084958427713183
2025-11-28,0.25,0.6,0.15,SELL,BUY,0.016497164796301256
2025-12-01,0.35,0.45,0.2,SELL,BUY,0.008559407295434696
2025-12-02,0.35,0.25,0.4,HOLD,SELL,-0.01030535824307155
2025-12-03,0.35,0.45,0.2,SELL,BUY,0.021103672933937556
2025-12-04,0.45,0.35,0.2,BUY,SELL,-0.0052895691726204674
2025-12-05,0.35,0.35,0.3,HOLD,BUY,0.01721396484079274
