Date,Buy_Conf,Sell_Conf,Hold_Conf,LLM_View,Ground_Truth,Next_Return
2025-10-24,0.55,0.15,0.3,BUY,BUY,0.02279122619072771
2025-10-27,0.55,0.15,0.3,BUY,HOLD,0.0007068280314419528
2025-10-28,0.55,0.25,0.2,BUY,HOLD,0.0026022758625696696
2025-10-29,0.65,0.15,0.2,BUY,BUY,0.006303231785351748
2025-10-30,0.55,0.15,0.3,BUY,HOLD,-0.0037951319176879883
2025-10-31,0.45,0.35,0.2,BUY,HOLD,-0.0048822256465500535
2025-11-03,0.65,0.15,0.2,BUY,HOLD,0.003679690752169673
2025-11-04,0.45,0.25,0.3,BUY,HOLD,0.00037033809935982376
2025-11-05,0.35,0.25,0.4,HOLD,HOLD,-0.001369754996301431
2025-11-06,0.45,0.25,0.3,BUY,HOLD,-0.004818874767062664
2025-11-07,0.35,0.45,0.2,SELL,HOLD,0.003575786682732396
2025-11-10,0.4,0.25,0.35,BUY,BUY,0.021601185771556786
2025-11-11,0.6,0.1,0.3,BUY,SELL,-0.006466843884820661
2025-11-12,0.45,0.25,0.3,BUY,HOLD,-0.0019014480979659965
2025-11-13,0.35,0.25,0.4,HOLD,HOLD,-0.0019784155368063328
2025-11-14,0.45,0.35,0.2,BUY,SELL,-0.018171183658773127
2025-11-17,0.35,0.25,0.4,HOLD,HOLD,-7.473646268785217e-05
2025-11-18,0.35,0.25,0.4,HOLD,HOLD,0.004187836924032684
2025-11-19,0.45,0.25,0.3,BUY,SELL,-0.008601420835542606
2025-11-20,0.35,0.45,0.2,SELL,BUY,0.019680714495305063
2025-11-21,0.45,0.3,0.25,BUY,BUY,0.0163174457722548
2025-11-24,0.35,0.15,0.5,HOLD,HOLD,0.003805406428931457
2025-11-25,0.55,0.2,0.25,BUY,HOLD,0.0020940411225383038
2025-11-26,0.35,0.25,0.4,HOLD,HOLD,0.004683906927485104
2025-11-28,0.55,0.25,0.2,BUY,BUY,0.015241168753721723
2025-12-01,0.6,0.1,0.3,BUY,BUY,0.010914857899228636
2025-12-02,0.55,0.15,0.3,BUY,SELL,-0.00712816145749029
2025-12-03,0.55,0.15,0.3,BUY,SELL,-0.012141410394363561
2025-12-04,0.35,0.45,0.2,SELL,SELL,-0.00684009028940924
2025-12-05,0.35,0.45,0.2,SELL,HOLD,-0.00319242461710445
